Sentiment,L1 Cluster ID,L1 Cluster,L2 Cluster ID,L2 Cluster,L2 Phrase Count,L2 Rating (Phrase),L3 Cluster ID,L3 Cluster,L3 Phrase Count,L3 Review Count,L3 Rating (Review),L3 Rating (Phrase),L4 ID,L4 Phrases,Review ID,Review Rating,Date,Verified Purchase,Recommended,Incentivized,Upvote,Downvote,AgeRange,SkinConcerns
Positive,,,,Skin,700,4.817142857142857,0, very dry T-Zone quickly,22,22,4.863636363636363,4.863636363636363,, very dry T-Zone quickly,P4R600,5,15 August 2020,No,Yes,No,1,1,,Acne
Positive,,,,Skin,700,4.817142857142857,6, Very gentle,22,22,4.818181818181818,4.818181818181818,, Very gentle,P4R600,5,15 August 2020,No,Yes,No,1,1,,Acne
Negative,,,,Skin,699,4.816881258941344,0, very dry T-Zone quickly,22,22,4.863636363636363,4.863636363636363,, very dry T-Zone quickly,P4R600,5,15 August 2020,No,Yes,No,1,1,,Acne
Negative,,,,Skin,699,4.816881258941344,6, Very gentle,22,22,4.818181818181818,4.818181818181818,, Very gentle,P4R600,5,15 August 2020,No,Yes,No,1,1,,Acne
Positive,,,,Skin,700,4.817142857142857,23, very dry T-Zone quickly,24,24,4.875,4.875,, combination acne prone skin,P4R601,5,15 August 2020,No,Yes,No,14,0,,Acne
Positive,,,,Skin,700,4.817142857142857,20, Very gentle,38,35,4.914285714285715,4.921052631578948,, calm any redness,P4R601,5,15 August 2020,No,Yes,No,14,0,,Acne
Positive,,,,Skin,700,4.817142857142857,21, combination acne prone skin,32,32,4.96875,4.96875,, dark acne scars,P4R601,5,15 August 2020,No,Yes,No,14,0,,Acne
Positive,,,,Texture,241,4.775933609958506,9, very dry T-Zone quickly,22,22,4.863636363636363,4.863636363636363,, absorbs very well,P4R601,5,15 August 2020,No,Yes,No,14,0,,Acne
Positive,,,,Allergy,44,4.840909090909091,0, very dry T-Zone quickly,23,22,4.909090909090909,4.869565217391305,, never caused an acne flare,P4R601,5,15 August 2020,No,Yes,No,14,0,,Acne
Positive,,,,Sentiment,119,4.9411764705882355,2, very dry T-Zone quickly,25,24,5.0,5.0,, recommend trying this product,P4R601,5,15 August 2020,No,Yes,No,14,0,,Acne
Positive,,,,Price,84,4.928571428571429,3, very dry T-Zone quickly,14,14,5.0,5.0,, price is worth it,P4R601,5,15 August 2020,No,Yes,No,14,0,,Acne
Negative,,,,Skin,699,4.816881258941344,23, very dry T-Zone quickly,24,24,4.875,4.875,, combination acne prone skin,P4R601,5,15 August 2020,No,Yes,No,14,0,,Acne
Negative,,,,Skin,699,4.816881258941344,20, Very gentle,38,35,4.914285714285715,4.921052631578948,, calm any redness,P4R601,5,15 August 2020,No,Yes,No,14,0,,Acne
Negative,,,,Skin,699,4.816881258941344,21, combination acne prone skin,32,32,4.96875,4.96875,, dark acne scars,P4R601,5,15 August 2020,No,Yes,No,14,0,,Acne
Negative,,,,Texture,241,4.775933609958506,9, very dry T-Zone quickly,22,22,4.863636363636363,4.863636363636363,, absorbs very well,P4R601,5,15 August 2020,No,Yes,No,14,0,,Acne
Negative,,,,Allergy,44,4.840909090909091,0, very dry T-Zone quickly,23,22,4.909090909090909,4.869565217391305,, never caused an acne flare,P4R601,5,15 August 2020,No,Yes,No,14,0,,Acne
Negative,,,,Sentiment,119,4.9411764705882355,2, very dry T-Zone quickly,25,24,5.0,5.0,, recommend trying this product,P4R601,5,15 August 2020,No,Yes,No,14,0,,Acne
Negative,,,,Price,84,4.928571428571429,3, very dry T-Zone quickly,14,14,5.0,5.0,, price is worth it,P4R601,5,15 August 2020,No,Yes,No,14,0,,Acne
Positive,,,,Demographic,54,4.962962962962963,2, very dry T-Zone quickly,13,13,5.0,5.0,, Age is [35],P4R602,5,14 August 2020,No,Yes,No,21,13,25-34,Dullness
Positive,,,,Skin,700,4.817142857142857,21, combination acne prone skin,32,32,4.96875,4.96875,, fungal acne,P4R602,5,14 August 2020,No,Yes,No,21,13,25-34,Dullness
Negative,,,,Demographic,54,4.962962962962963,2, very dry T-Zone quickly,13,13,5.0,5.0,, Age is [35],P4R602,5,14 August 2020,No,Yes,No,21,13,25-34,Dullness
Negative,,,,Skin,699,4.816881258941344,21, combination acne prone skin,32,32,4.96875,4.96875,, fungal acne,P4R602,5,14 August 2020,No,Yes,No,21,13,25-34,Dullness
Positive,,,,Motivation,75,4.386666666666667,0, very dry T-Zone quickly,13,10,3.8,3.8461538461538463,, Read reviews on this product,P4R603,5,13 August 2020,No,Yes,No,7,0,,Blackheads
