,Positive Sentiment,,,,Negative Sentiment,,,
aspect,phrase_count,review_count,Phrase_Avg_Rating,Review_Avg_Rating,phrase_count,review_count,Phrase_Avg_Rating,Review_Avg_Rating
allergy,42,41,3.904761905,3.975609756,127,41,4.141732,4.158416
application,109,86,4.009174312,4.011627907,42,86,4.238095,4.222222
brand,37,33,4.243243243,4.242424242,6,33,4.333333,4.2
competitor,29,25,4.034482759,3.92,55,25,4,3.944444
demographic,87,73,4.057471264,4.04109589,8,73,3.5,3.857143
ingredients,38,31,4.421052632,4.612903226,30,31,4.433333,4.5
motivation,81,74,4.061728395,4.128378378,12,74,3.666667,3.666667
odor,38,37,3.868421053,3.837837838,32,37,4.0625,4.068966
packaging,41,38,4.048780488,3.973684211,17,38,3.882353,3.916667
performance,98,81,4.173469388,4.197530864,27,81,4.444444,4.347826
price,58,57,4.379310345,4.368421053,23,57,4.130435,4.047619
purchase,62,60,4.209677419,4.183333333,25,60,4.16,4.16
sentiment,145,125,4.027586207,4.044,41,125,4.04878,3.973684
skin,629,354,4.158982512,4.093220339,146,354,4.150685,4.12
texture,267,190,4.037453184,4.071052632,57,190,4.105263,4.157895
