,Positive Sentiment,,,,Negative Sentiment,,,
aspect,phrase_count,phrase_avg_rating,review_count,review_avg_rating,phrase_count,phrase_avg_rating,review_count,review_avg_rating
Skin,891,4.818182,498,4.777108,141,2.319149,86,2.465116
Texture,311,4.78135,216,4.796296,54,2.962963,41,3
Demographic,134,4.873134,113,4.884956,4,1,2,1
Sentiment,133,4.947368,121,4.942149,13,3.076923,12,3
Application,127,4.779528,94,4.797872,25,2.64,22,2.590909
Motivation,89,4.382022,79,4.379747,3,1,3,1
Performance,84,4.928571,67,4.940299,24,1.958333,20,2.15
Price,81,4.925926,74,4.918919,13,3.846154,13,3.846154
Purchase,63,4.936508,60,4.933333,11,2.909091,11,2.909091
Odor,60,4.716667,52,4.711538,32,2.78125,25,2.92
Packaging,51,4.784314,43,4.813953,20,4.3,16,4.25
Allergy,45,4.844444,42,4.857143,73,2.438356,64,2.53125
Brand,34,4.764706,29,4.758621,2,3,1,3
Ingredients,23,4.782609,17,4.764706,14,3.071429,12,3.25
Competitor,14,3.785714,11,3.454545,37,4.594595,30,4.566667
Super dry skin,4,5,1,5,0,0,0,0
Motivator,1,5,1,5,0,0,0,0
Sent,1,5,1,5,0,0,0,0
Substitute,1,5,1,5,0,0,0,0
Temperature,1,5,1,5,1,5,1,5
Age,1,5,1,5,0,0,0,0
Customer,0,0,0,0,1,1,1,1
