Sentiment,L1 Cluster ID,L1 Cluster,L2 Cluster ID,L2 Cluster,L2 Phrase Count,L2 Rating (Phrase),L3 Cluster ID,L3 Cluster,L3 Phrase Count,L3 Review Count,L3 Rating (Review),L3 Rating (Phrase),L4 ID,L4 Phrases,Review ID,Review Rating,Date,Verified Purchase,Recommended,Incentivized,Upvote,Downvote,AgeRange,SkinConcerns
Positive,,,,Skin,1147,4.752397558849172,2, Cleared up my very dry T-Zone,15,14,4.857142857142857,4.866666666666666,, Cleared up my very dry T-Zone,P4R600,5,15 August 2020,No,Yes,No,1,1,,Acne
Positive,,,,Texture,333,4.834834834834835,10, Cleared up my very dry T-Zone,15,14,4.928571428571429,4.933333333333334,, Very gentle,P4R600,5,15 August 2020,No,Yes,No,1,1,,Acne
Positive,,,,Skin,1147,4.752397558849172,37, Very gentle,25,25,4.88,4.88,, combination acne prone skin,P4R601,5,15 August 2020,No,Yes,No,14,0,,Acne
Positive,,,,Texture,333,4.834834834834835,7, Very gentle,12,12,4.666666666666667,4.666666666666667,, absorbs very well into my skin,P4R601,5,15 August 2020,No,Yes,No,14,0,,Acne
Positive,,,,Skin,1147,4.752397558849172,6, combination acne prone skin,18,18,4.666666666666667,4.666666666666667,, has never caused an acne flare up,P4R601,5,15 August 2020,No,Yes,No,14,0,,Acne
Positive,,,,Motivation,73,4.821917808219178,0, Cleared up my very dry T-Zone,36,35,4.8,4.805555555555555,, stopped all that thank goodness,P4R601,5,15 August 2020,No,Yes,No,14,0,,Acne
Positive,,,,Price,85,4.858823529411764,6, Cleared up my very dry T-Zone,6,6,5.0,5.0,, price is worth it,P4R601,5,15 August 2020,No,Yes,No,14,0,,Acne
Positive,,,,Skin,1147,4.752397558849172,4, absorbs very well into my skin,48,45,4.8,4.770833333333333,, tube version,P4R602,5,14 August 2020,No,Yes,No,21,13,25-34,Dullness
Positive,,,,Skin,1147,4.752397558849172,3, has never caused an acne flare up,25,18,4.777777777777778,4.84,, redness gone,P4R603,5,13 August 2020,No,Yes,No,7,0,,Blackheads
Positive,,,,Skin,1147,4.752397558849172,21, stopped all that thank goodness,24,23,4.478260869565218,4.458333333333333,, lids wasn’t bumpy and dry,P4R603,5,13 August 2020,No,Yes,No,7,0,,Blackheads
