aspect,phrase_count,Phrase_Avg_Rating,Review_Avg_Rating,review_count
allergy,42,3.9047619047619047,3.975609756097561,41
application,109,4.009174311926605,4.011627906976744,86
brand,37,4.243243243243243,4.242424242424242,33
competitor,29,4.0344827586206895,3.92,25
demographic,87,4.057471264367816,4.041095890410959,73
ingredients,38,4.421052631578948,4.612903225806452,31
motivation,81,4.061728395061729,4.128378378378378,74
odor,38,3.8684210526315788,3.8378378378378377,37
packaging,41,4.048780487804878,3.973684210526316,38
performance,98,4.173469387755102,4.197530864197531,81
price,58,4.379310344827586,4.368421052631579,57
purchase,62,4.209677419354839,4.183333333333334,60
sentiment,145,4.027586206896552,4.044,125
skin,629,4.158982511923688,4.093220338983051,354
texture,267,4.037453183520599,4.071052631578947,190
