,Sentiment,L1 Cluster ID,L1 Cluster,L2 Cluster ID,L2 Cluster,L2 Rating (Review),L2 Rating (Phrase),L3 Cluster ID,L3 Cluster,L3 Rating (Review),L3 Rating (Phrase),L4 ID,L4 Phrases,Review ID,Review Rating,Date,Verified Purchase,Recommended,Incentivized,Upvote,Downvote,AgeRange,SkinConcerns
0,Positive,,,,Texture,5,5,,,,,, absorbs very well,P4R601,5,15 August 2020,No,Yes,No,14,0,,Acne
1,Positive,,,,Skin,5,5,,,,,, combination acne prone skin,P4R601,5,15 August 2020,No,Yes,No,14,0,,Acne
2,Positive,,,,Skin,5,5,,,,,, calm any redness,P4R601,5,15 August 2020,No,Yes,No,14,0,,Acne
3,Positive,,,,Skin,5,5,,,,,, dark acne scars,P4R601,5,15 August 2020,No,Yes,No,14,0,,Acne
4,Positive,,,,Sentiment,5,5,,,,,, recommend trying this product,P4R601,5,15 August 2020,No,Yes,No,14,0,,Acne
5,Positive,,,,Price,5,5,,,,,, price is worth it,P4R601,5,15 August 2020,No,Yes,No,14,0,,Acne
6,Positive,,,,Allergy,5,5,,,,,, never caused an acne flare,P4R601,5,15 August 2020,No,Yes,No,14,0,,Acne
7,Positive,,,,Texture,5,5,,,,,, does NOT leave skin oily/greasy,P4R605,5,12 August 2020,No,Yes,No,26,1,,Blackheads
8,Positive,,,,Texture,5,5,,,,,, absorbs it immediately,P4R605,5,12 August 2020,No,Yes,No,26,1,,Blackheads
9,Positive,,,,Texture,5,5,,,,,, not look glossy midday,P4R605,5,12 August 2020,No,Yes,No,26,1,,Blackheads
10,Positive,,,,Skin,5,5,,,,,, reduced redness,P4R605,5,12 August 2020,No,Yes,No,26,1,,Blackheads
11,Positive,,,,Skin,5,5,,,,,, combination skin,P4R605,5,12 August 2020,No,Yes,No,26,1,,Blackheads
12,Positive,,,,Skin,5,5,,,,,, good hydrating moisturizer,P4R605,5,12 August 2020,No,Yes,No,26,1,,Blackheads
13,Positive,,,,Sentiment,5,5,,,,,, this one is PERFECTION,P4R605,5,12 August 2020,No,Yes,No,26,1,,Blackheads
14,Positive,,,,Purchase,5,5,,,,,, lifetime product for me,P4R605,5,12 August 2020,No,Yes,No,26,1,,Blackheads
15,Positive,,,,Motivation,5,5,,,,,, first tried this moisturizer as a free sample,P4R605,5,12 August 2020,No,Yes,No,26,1,,Blackheads
16,Positive,,,,Texture,5,5,,,,,, feels thick,P4R606,5,11 August 2020,No,Yes,No,7,0,,Blackheads
17,Positive,,,,Skin,5,5,,,,,, sensitive dry/combo skin,P4R606,5,11 August 2020,No,Yes,No,7,0,,Blackheads
18,Positive,,,,Skin,5,5,,,,,, thick and hydrating,P4R606,5,11 August 2020,No,Yes,No,7,0,,Blackheads
19,Positive,,,,Skin,5,5,,,,,, pcos so,P4R606,5,11 August 2020,No,Yes,No,7,0,,Blackheads
20,Positive,,,,Skin,5,5,,,,,, less redness,P4R606,5,11 August 2020,No,Yes,No,7,0,,Blackheads
21,Positive,,,,Skin,5,5,,,,,, No bumps or acne,P4R606,5,11 August 2020,No,Yes,No,7,0,,Blackheads
22,Positive,,,,Sentiment,5,5,,,,,, #holygrail,P4R606,5,11 August 2020,No,Yes,No,7,0,,Blackheads
23,Positive,,,,Demographic,5,5,,,,,, laneige water cream for a year,P4R606,5,11 August 2020,No,Yes,No,7,0,,Blackheads
24,Positive,,,,Texture,4,4,,,,,, thicker,P4R608,4,09 August 2020,No,Yes,No,0,0,,Dullness
25,Positive,,,,Texture,4,4,,,,,, soaks well,P4R608,4,09 August 2020,No,Yes,No,0,0,,Dullness
26,Positive,,,,Texture,4,4,,,,,, feels smooth,P4R608,4,09 August 2020,No,Yes,No,0,0,,Dullness
27,Positive,,,,Skin,4,4,,,,,, skill looks more hydrated,P4R608,4,09 August 2020,No,Yes,No,0,0,,Dullness
28,Positive,,,,Texture,5,5,,,,,, lightweight,P4R611,5,06 August 2020,No,Yes,No,3,0,45-54,Sun Damage
29,Positive,,,,Skin,5,5,,,,,, have eczema,P4R611,5,06 August 2020,No,Yes,No,3,0,45-54,Sun Damage
30,Positive,,,,Skin,5,5,,,,,, dry ski,P4R611,5,06 August 2020,No,Yes,No,3,0,45-54,Sun Damage
31,Positive,,,,Texture,5,5,,,,,, doesn't make me super oily,P4R619,5,28 July 2020,No,Yes,No,16,3,,Acne
32,Positive,,,,Texture,5,5,,,,,, thick cream,P4R619,5,28 July 2020,No,Yes,No,16,3,,Acne
33,Positive,,,,Motivation,5,5,,,,,, because I started watching a lot of skincare,P4R619,5,28 July 2020,No,Yes,No,16,3,,Acne
34,Positive,,,,Ingredients,5,5,,,,,, oat,P4R619,5,28 July 2020,No,Yes,No,16,3,,Acne
35,Positive,,,,Brand,5,5,,,,,, this brand is vegan AND cruelty free,P4R619,5,28 July 2020,No,Yes,No,16,3,,Acne
36,Positive,,,,Application,5,5,,,,,, my face and neck,P4R619,5,28 July 2020,No,Yes,No,16,3,,Acne
37,Positive,,,,Allergy,5,5,,,,,, even though i have combo skin,P4R619,5,28 July 2020,No,Yes,No,16,3,,Acne
38,Positive,,,,Allergy,5,5,,,,,,,P4R619,5,28 July 2020,No,Yes,No,16,3,,Acne
39,Negative,,,,Ingredients,5,5,,,,,, containing citrus extracts/fragrance,P4R619,5,28 July 2020,No,Yes,No,16,3,,Acne
40,Positive,,,,Texture,5,5,,,,,, sinks right in,P4R621,5,27 July 2020,No,Yes,No,3,1,,Acne
41,Positive,,,,Texture,5,5,,,,,, feels super smooth,P4R621,5,27 July 2020,No,Yes,No,3,1,,Acne
42,Positive,,,,Skin,5,5,,,,,, extremely moisturizing,P4R621,5,27 July 2020,No,Yes,No,3,1,,Acne
43,Positive,,,,Price,5,5,,,,,, Great price too,P4R621,5,27 July 2020,No,Yes,No,3,1,,Acne
