Sentiment,L1 Cluster ID,L1 Cluster,L2 Cluster ID,L2 Cluster,L2 Rating (Review),L2 Rating (Phrase),L3 Cluster ID,L3 Cluster,L3 Phrase Count,L3 Review Count,L3 Rating (Review),L3 Rating (Phrase),L4 ID,L4 Phrases,Review ID,Review Rating,Date,Verified Purchase,Recommended,Incentivized,Upvote,Downvote,AgeRange,SkinConcerns
Positive,,,,Texture,5,5,2, absorbs very well,14,14,4.857142857142857,4.857142857142857,, absorbs very well,P4R601,5,15 August 2020,No,Yes,No,14,0,,Acne
Positive,,,,Skin,5,5,5, combination acne prone skin,27,27,4.851851851851852,4.851851851851852,, combination acne prone skin,P4R601,5,15 August 2020,No,Yes,No,14,0,,Acne
Positive,,,,Skin,5,5,30, calm any redness,4,4,5.0,5.0,, calm any redness,P4R601,5,15 August 2020,No,Yes,No,14,0,,Acne
Positive,,,,Skin,5,5,,,,,,,, dark acne scars,P4R601,5,15 August 2020,No,Yes,No,14,0,,Acne
Positive,,,,Sentiment,5,5,,,,,,,, recommend trying this product,P4R601,5,15 August 2020,No,Yes,No,14,0,,Acne
Positive,,,,Price,5,5,3, price is worth it,3,3,5.0,5.0,, price is worth it,P4R601,5,15 August 2020,No,Yes,No,14,0,,Acne
Positive,,,,Allergy,5,5,,,,,,,, never caused an acne flare,P4R601,5,15 August 2020,No,Yes,No,14,0,,Acne
Positive,,,,Texture,5,5,,,,,,,, does NOT leave skin oily/greasy,P4R605,5,12 August 2020,No,Yes,No,26,1,,Blackheads
Positive,,,,Texture,5,5,2, absorbs very well,14,14,4.857142857142857,4.857142857142857,, absorbs it immediately,P4R605,5,12 August 2020,No,Yes,No,26,1,,Blackheads
Positive,,,,Texture,5,5,,,,,,,, not look glossy midday,P4R605,5,12 August 2020,No,Yes,No,26,1,,Blackheads
Positive,,,,Skin,5,5,9, redness gone,16,15,4.933333333333334,4.9375,, reduced redness,P4R605,5,12 August 2020,No,Yes,No,26,1,,Blackheads
Positive,,,,Skin,5,5,8, combination skin,18,18,4.333333333333333,4.333333333333333,, combination skin,P4R605,5,12 August 2020,No,Yes,No,26,1,,Blackheads
Positive,,,,Skin,5,5,29, good hydrating moisturizer,4,4,4.75,4.75,, good hydrating moisturizer,P4R605,5,12 August 2020,No,Yes,No,26,1,,Blackheads
Positive,,,,Sentiment,5,5,,,,,,,, this one is PERFECTION,P4R605,5,12 August 2020,No,Yes,No,26,1,,Blackheads
Positive,,,,Purchase,5,5,,,,,,,, lifetime product for me,P4R605,5,12 August 2020,No,Yes,No,26,1,,Blackheads
Positive,,,,Motivation,5,5,,,,,,,, first tried this moisturizer as a free sample,P4R605,5,12 August 2020,No,Yes,No,26,1,,Blackheads
Positive,,,,Texture,5,5,7, feels thick,4,4,5.0,5.0,, feels thick,P4R606,5,11 August 2020,No,Yes,No,7,0,,Blackheads
Positive,,,,Skin,5,5,3, sensitive dry/combo skin,34,34,4.823529411764706,4.823529411764706,, sensitive dry/combo skin,P4R606,5,11 August 2020,No,Yes,No,7,0,,Blackheads
Positive,,,,Skin,5,5,4, thick and hydrating,31,30,4.7,4.67741935483871,, thick and hydrating,P4R606,5,11 August 2020,No,Yes,No,7,0,,Blackheads
Positive,,,,Skin,5,5,,,,,,,, pcos so,P4R606,5,11 August 2020,No,Yes,No,7,0,,Blackheads
Positive,,,,Skin,5,5,9, redness gone,16,15,4.933333333333334,4.9375,, less redness,P4R606,5,11 August 2020,No,Yes,No,7,0,,Blackheads
Positive,,,,Skin,5,5,,,,,,,, No bumps or acne,P4R606,5,11 August 2020,No,Yes,No,7,0,,Blackheads
Positive,,,,Sentiment,5,5,,,,,,,, #holygrail,P4R606,5,11 August 2020,No,Yes,No,7,0,,Blackheads
Positive,,,,Demographic,5,5,,,,,,,, laneige water cream for a year,P4R606,5,11 August 2020,No,Yes,No,7,0,,Blackheads
Positive,,,,Texture,4,4,3, thicker,12,12,4.833333333333333,4.833333333333333,, thicker,P4R608,4,09 August 2020,No,Yes,No,0,0,,Dullness
Positive,,,,Texture,4,4,16, soaks well,3,3,4.666666666666667,4.666666666666667,, soaks well,P4R608,4,09 August 2020,No,Yes,No,0,0,,Dullness
Positive,,,,Texture,4,4,,,,,,,, feels smooth,P4R608,4,09 August 2020,No,Yes,No,0,0,,Dullness
Positive,,,,Skin,4,4,,,,,,,, skill looks more hydrated,P4R608,4,09 August 2020,No,Yes,No,0,0,,Dullness
Positive,,,,Texture,5,5,6, lightweight,6,6,4.833333333333333,4.833333333333333,, lightweight,P4R611,5,06 August 2020,No,Yes,No,3,0,45-54,Sun Damage
Positive,,,,Skin,5,5,2, have eczema,49,49,4.857142857142857,4.857142857142857,, have eczema,P4R611,5,06 August 2020,No,Yes,No,3,0,45-54,Sun Damage
Positive,,,,Skin,5,5,,,,,,,, dry ski,P4R611,5,06 August 2020,No,Yes,No,3,0,45-54,Sun Damage
Positive,,,,Texture,5,5,,,,,,,, doesn't make me super oily,P4R619,5,28 July 2020,No,Yes,No,16,3,,Acne
Positive,,,,Texture,5,5,8, thick cream,4,4,5.0,5.0,, thick cream,P4R619,5,28 July 2020,No,Yes,No,16,3,,Acne
Positive,,,,Motivation,5,5,,,,,,,, because I started watching a lot of skincare,P4R619,5,28 July 2020,No,Yes,No,16,3,,Acne
Positive,,,,Ingredients,5,5,,,,,,,, oat,P4R619,5,28 July 2020,No,Yes,No,16,3,,Acne
Positive,,,,Brand,5,5,,,,,,,, this brand is vegan AND cruelty free,P4R619,5,28 July 2020,No,Yes,No,16,3,,Acne
Positive,,,,Application,5,5,4, my face and neck,3,3,5.0,5.0,, my face and neck,P4R619,5,28 July 2020,No,Yes,No,16,3,,Acne
