Sentiment,L1 Cluster ID,L1 Cluster,L2 Cluster ID,L2 Cluster,L2 Rating (Review),L2 Rating (Phrase),L3 Cluster ID,L3 Cluster,L3 Phrase Count,L3 Review Count,L3 Rating (Review),L3 Rating (Phrase),L4 ID,L4 Phrases,Review ID,Review Rating,Date,Verified Purchase,Recommended,Incentivized,Upvote,Downvote,AgeRange,SkinConcerns
positive,,,,texture,1 star,1 star,13,skin actually soft,9,9,3.888888888888889,3.888888888888889,,skin actually soft,P4R1,1 star,11/18/2022,Yes,No,No,5,0,Over54,Redness
positive,,,,texture,1 star,1 star,19,never greasy and weird,20,20,4.25,4.25,,never greasy and weird,P4R1,1 star,11/18/2022,Yes,No,No,5,0,Over54,Redness
positive,,,,skin,1 star,1 star,27,skin actually soft,27,27,4.0,4.0,,sensitive skin,P4R1,1 star,11/18/2022,Yes,No,No,5,0,Over54,Redness
positive,,,,skin,1 star,1 star,15,never greasy and weird,30,30,4.333333333333333,4.333333333333333,,dry skin,P4R1,1 star,11/18/2022,Yes,No,No,5,0,Over54,Redness
positive,,,,skin,1 star,1 star,13,sensitive skin,30,28,4.214285714285714,4.166666666666667,,acne,P4R1,1 star,11/18/2022,Yes,No,No,5,0,Over54,Redness
positive,,,,skin,1 star,1 star,23,dry skin,41,39,4.102564102564102,4.073170731707317,,eczema,P4R1,1 star,11/18/2022,Yes,No,No,5,0,Over54,Redness
positive,,,,skin,1 star,1 star,35,acne,3,3,2.6666666666666665,2.6666666666666665,,flakiness,P4R1,1 star,11/18/2022,Yes,No,No,5,0,Over54,Redness
positive,,,,purchase,1 star,1 star,9,skin actually soft,4,4,3.75,3.75,,almost a decade,P4R1,1 star,11/18/2022,Yes,No,No,5,0,Over54,Redness
positive,,,,odor,1 star,1 star,1,skin actually soft,12,12,3.75,3.75,,scent was pleasant,P4R1,1 star,11/18/2022,Yes,No,No,5,0,Over54,Redness
positive,,,,demographic,1 star,1 star,3,skin actually soft,17,16,3.75,3.823529411764706,,very harsh winters,P4R1,1 star,11/18/2022,Yes,No,No,5,0,Over54,Redness
negative,,,,texture,1 star,1 star,9,skin actually soft,4,4,3.0,3.0,,texture is no longer thick,P4R1,1 star,11/18/2022,Yes,No,No,5,0,Over54,Redness
negative,,,,texture,1 star,1 star,2,never greasy and weird,5,4,3.75,3.2,,luscious but feels watery,P4R1,1 star,11/18/2022,Yes,No,No,5,0,Over54,Redness
negative,,,,texture,1 star,1 star,5,sensitive skin,4,4,4.0,4.0,,skin now seems mildly tacky,P4R1,1 star,11/18/2022,Yes,No,No,5,0,Over54,Redness
negative,,,,texture,1 star,1 star,2,never greasy and weird,5,4,3.75,3.2,,sensation of moisture wears off quickly,P4R1,1 star,11/18/2022,Yes,No,No,5,0,Over54,Redness
negative,,,,skin,1 star,1 star,10,skin actually soft,5,5,4.2,4.2,,cream isn't soothing eczema,P4R1,1 star,11/18/2022,Yes,No,No,5,0,Over54,Redness
negative,,,,skin,1 star,1 star,7,never greasy and weird,4,4,3.75,3.75,,flakiness,P4R1,1 star,11/18/2022,Yes,No,No,5,0,Over54,Redness
negative,,,,skin,1 star,1 star,4,sensitive skin,5,5,4.2,4.2,,nor helping prevent dryness,P4R1,1 star,11/18/2022,Yes,No,No,5,0,Over54,Redness
negative,,,,sentiment,1 star,1 star,8,skin actually soft,4,4,2.0,2.0,,used to be the absolute best cream,P4R1,1 star,11/18/2022,Yes,No,No,5,0,Over54,Redness
negative,,,,price,1 star,1 star,2,skin actually soft,6,6,3.6666666666666665,3.6666666666666665,,price on the 8oz tube by TWELVE DOLLARS,P4R1,1 star,11/18/2022,Yes,No,No,5,0,Over54,Redness
negative,,,,ingredients,1 star,1 star,2,skin actually soft,3,3,3.3333333333333335,3.3333333333333335,,Disastrous formula change,P4R1,1 star,11/18/2022,Yes,No,No,5,0,Over54,Redness
negative,,,,ingredients,1 star,1 star,1,never greasy and weird,13,13,4.461538461538462,4.461538461538462,,eucalyptus,P4R1,1 star,11/18/2022,Yes,No,No,5,0,Over54,Redness
negative,,,,brand,1 star,1 star,0,skin actually soft,6,5,4.2,4.333333333333333,,using this FAB cream,P4R1,1 star,11/18/2022,Yes,No,No,5,0,Over54,Redness
negative,,,,application,1 star,1 star,2,skin actually soft,4,4,3.0,3.0,,insubstantial when applied,P4R1,1 star,11/18/2022,Yes,No,No,5,0,Over54,Redness
positive,,,,texture,5 stars,5 stars,19,never greasy and weird,20,20,4.25,4.25,,Not greasy,P4R2,5 stars,18 November 2022,Yes,Yes,No,1,0,Over54,Dark Circles
positive,,,,skin,5 stars,5 stars,16,eczema,5,5,4.6,4.6,,wash my hands,P4R2,5 stars,18 November 2022,Yes,Yes,No,1,0,Over54,Dark Circles
positive,,,,skin,5 stars,5 stars,43,flakiness,11,11,3.8181818181818183,3.8181818181818183,,dryness,P4R2,5 stars,18 November 2022,Yes,Yes,No,1,0,Over54,Dark Circles
positive,,,,motivation,5 stars,5 stars,10,skin actually soft,5,5,5.0,5.0,,was on sale,P4R2,5 stars,18 November 2022,Yes,Yes,No,1,0,Over54,Dark Circles
positive,,,,demographic,5 stars,5 stars,7,never greasy and weird,2,2,4.5,4.5,,work in health care,P4R2,5 stars,18 November 2022,Yes,Yes,No,1,0,Over54,Dark Circles
positive,,,,demographic,5 stars,5 stars,3,skin actually soft,17,16,3.75,3.823529411764706,,winter,P4R2,5 stars,18 November 2022,Yes,Yes,No,1,0,Over54,Dark Circles
negative,,,,competitor,5 stars,5 stars,1,skin actually soft,12,12,3.6666666666666665,3.6666666666666665,,l'occitaine cream,P4R2,5 stars,18 November 2022,Yes,Yes,No,1,0,Over54,Dark Circles
positive,,,,texture,2 stars,2 stars,24,dry skin,7,7,2.2857142857142856,2.2857142857142856,,cream was thick,P4R4,2 stars,31 October 2022,No,No,No,34,4,Over54,Redness
positive,,,,texture,2 stars,2 stars,3,acne,21,21,3.8095238095238093,3.8095238095238093,,absorbing relatively quickly,P4R4,2 stars,31 October 2022,No,No,No,34,4,Over54,Redness
positive,,,,skin,2 stars,2 stars,23,dry skin,41,39,4.102564102564102,4.073170731707317,,take away the small eczema-looking patch on my arm,P4R4,2 stars,31 October 2022,No,No,No,34,4,Over54,Redness
positive,,,,purchase,2 stars,2 stars,5,never greasy and weird,3,3,4.0,4.0,,every year for Christmas,P4R4,2 stars,31 October 2022,No,No,No,34,4,Over54,Redness
positive,,,,packaging,2 stars,2 stars,4,skin actually soft,8,8,3.0,3.0,,14oz jars,P4R4,2 stars,31 October 2022,No,No,No,34,4,Over54,Redness
positive,,,,demographic,2 stars,2 stars,3,skin actually soft,17,16,3.75,3.823529411764706,,"especially during winter,",P4R4,2 stars,31 October 2022,No,No,No,34,4,Over54,Redness
positive,,,,application,2 stars,2 stars,11,skin actually soft,8,8,4.0,4.0,,My hands,P4R4,2 stars,31 October 2022,No,No,No,34,4,Over54,Redness
negative,,,,texture,2 stars,2 stars,9,skin actually soft,4,4,3.0,3.0,,formula was becoming thinner,P4R4,2 stars,31 October 2022,No,No,No,34,4,Over54,Redness
negative,,,,shipping,2 stars,2 stars,0,skin actually soft,4,3,3.0,2.75,,TSV on time for Christmas,P4R4,2 stars,31 October 2022,No,No,No,34,4,Over54,Redness
negative,,,,shipping,2 stars,2 stars,0,skin actually soft,4,3,3.0,2.75,,waited 2 months,P4R4,2 stars,31 October 2022,No,No,No,34,4,Over54,Redness
negative,,,,price,2 stars,2 stars,2,skin actually soft,6,6,3.6666666666666665,3.6666666666666665,,$78 for a 14oz jar,P4R4,2 stars,31 October 2022,No,No,No,34,4,Over54,Redness
negative,,,,application,2 stars,2 stars,1,never greasy and weird,6,6,4.166666666666667,4.166666666666667,,Used to be great product 3+ years ago,P4R4,2 stars,31 October 2022,No,No,No,34,4,Over54,Redness
positive,,,,texture,5 stars,5 stars,1,eczema,15,14,4.571428571428571,4.6,,smoother my skin,P4R6,5 stars,23 October 2022,Yes,Yes,No,3,1,,
positive,,,,skin,5 stars,5 stars,21,scent was pleasant,15,14,4.285714285714286,4.333333333333333,,Calms rosacea,P4R6,5 stars,23 October 2022,Yes,Yes,No,3,1,,
positive,,,,skin,5 stars,5 stars,27,skin actually soft,27,27,4.0,4.0,,super sensitive skin,P4R6,5 stars,23 October 2022,Yes,Yes,No,3,1,,
positive,,,,skin,5 stars,5 stars,18,texture is no longer thick,10,10,4.2,4.2,,ifferent in my redness,P4R6,5 stars,23 October 2022,Yes,Yes,No,3,1,,
positive,,,,sentiment,5 stars,5 stars,14,skin actually soft,7,7,4.428571428571429,4.428571428571429,,FAB ultra hydrating cream truly does soothe it,P4R6,5 stars,23 October 2022,Yes,Yes,No,3,1,,
positive,,,,price,5 stars,5 stars,8,skin actually soft,2,2,5.0,5.0,,Worth the price for the tub,P4R6,5 stars,23 October 2022,Yes,Yes,No,3,1,,
