Sentiment,L1 Cluster ID,L1 Cluster,L2 Cluster ID,L2 Cluster,L2 Rating (Review),L2 Rating (Phrase),L3 Cluster ID,L3 Cluster,L3 Phrase Count,L3 Review Count,L3 Rating (Review),L3 Rating (Phrase),L4 ID,L4 Phrases,Review ID,Review Rating,Date,Verified Purchase,Recommended,Incentivized,Upvote,Downvote,AgeRange,SkinConcerns
Positive,,,,Texture,5,5,6, absorbs very well,16,16,4.875,4.875,, absorbs very well,P4R601,5,15 August 2020,No,Yes,No,14,0,,Acne
Positive,,,,Skin,5,5,57, combination acne prone skin,24,24,4.875,4.875,, combination acne prone skin,P4R601,5,15 August 2020,No,Yes,No,14,0,,Acne
Positive,,,,Skin,5,5,75, calm any redness,5,5,5.0,5.0,, calm any redness,P4R601,5,15 August 2020,No,Yes,No,14,0,,Acne
Positive,,,,Skin,5,5,13, dark acne scars,22,22,5.0,5.0,, dark acne scars,P4R601,5,15 August 2020,No,Yes,No,14,0,,Acne
Positive,,,,Sentiment,5,5,1, recommend trying this product,12,12,5.0,5.0,, recommend trying this product,P4R601,5,15 August 2020,No,Yes,No,14,0,,Acne
Positive,,,,Price,5,5,6, price is worth it,7,7,5.0,5.0,, price is worth it,P4R601,5,15 August 2020,No,Yes,No,14,0,,Acne
Positive,,,,Allergy,5,5,4, never caused an acne flare,7,6,4.833333333333333,4.714285714285714,, never caused an acne flare,P4R601,5,15 August 2020,No,Yes,No,14,0,,Acne
Positive,,,,Texture,5,5,35, does NOT leave skin oily/greasy,16,16,4.9375,4.9375,, does NOT leave skin oily/greasy,P4R605,5,12 August 2020,No,Yes,No,26,1,,Blackheads
Positive,,,,Texture,5,5,6, absorbs very well,16,16,4.875,4.875,, absorbs it immediately,P4R605,5,12 August 2020,No,Yes,No,26,1,,Blackheads
Positive,,,,Texture,5,5,1, not look glossy midday,8,8,4.625,4.625,, not look glossy midday,P4R605,5,12 August 2020,No,Yes,No,26,1,,Blackheads
Positive,,,,Skin,5,5,47, redness gone,25,24,4.875,4.88,, reduced redness,P4R605,5,12 August 2020,No,Yes,No,26,1,,Blackheads
Positive,,,,Skin,5,5,42, combination skin,17,17,4.294117647058823,4.294117647058823,, combination skin,P4R605,5,12 August 2020,No,Yes,No,26,1,,Blackheads
Positive,,,,Skin,5,5,78, good hydrating moisturizer,11,11,4.818181818181818,4.818181818181818,, good hydrating moisturizer,P4R605,5,12 August 2020,No,Yes,No,26,1,,Blackheads
Positive,,,,Sentiment,5,5,0, this one is PERFECTION,12,11,5.0,5.0,, this one is PERFECTION,P4R605,5,12 August 2020,No,Yes,No,26,1,,Blackheads
Positive,,,,Purchase,5,5,1, lifetime product for me,9,9,4.777777777777778,4.777777777777778,, lifetime product for me,P4R605,5,12 August 2020,No,Yes,No,26,1,,Blackheads
Positive,,,,Motivation,5,5,14, first tried this moisturizer as a free sample,4,4,4.75,4.75,, first tried this moisturizer as a free sample,P4R605,5,12 August 2020,No,Yes,No,26,1,,Blackheads
Positive,,,,Texture,5,5,24, feels thick,6,6,5.0,5.0,, feels thick,P4R606,5,11 August 2020,No,Yes,No,7,0,,Blackheads
Positive,,,,Skin,5,5,65, sensitive dry/combo skin,12,12,4.75,4.75,, sensitive dry/combo skin,P4R606,5,11 August 2020,No,Yes,No,7,0,,Blackheads
Positive,,,,Skin,5,5,8, thick and hydrating,36,35,4.742857142857143,4.722222222222222,, thick and hydrating,P4R606,5,11 August 2020,No,Yes,No,7,0,,Blackheads
Positive,,,,Skin,5,5,22, pcos so,4,2,5.0,5.0,, pcos so,P4R606,5,11 August 2020,No,Yes,No,7,0,,Blackheads
Positive,,,,Skin,5,5,47, redness gone,25,24,4.875,4.88,, less redness,P4R606,5,11 August 2020,No,Yes,No,7,0,,Blackheads
Positive,,,,Skin,5,5,1, No bumps or acne,9,9,5.0,5.0,, No bumps or acne,P4R606,5,11 August 2020,No,Yes,No,7,0,,Blackheads
Positive,,,,Sentiment,5,5,17, #holygrail,5,5,4.8,4.8,, #holygrail,P4R606,5,11 August 2020,No,Yes,No,7,0,,Blackheads
Positive,,,,Demographic,5,5,10, laneige water cream for a year,7,7,4.857142857142857,4.857142857142857,, laneige water cream for a year,P4R606,5,11 August 2020,No,Yes,No,7,0,,Blackheads
Positive,,,,Texture,4,4,32, thicker,16,14,4.571428571428571,4.625,, thicker,P4R608,4,09 August 2020,No,Yes,No,0,0,,Dullness
Positive,,,,Texture,4,4,39, soaks well,4,4,4.5,4.5,, soaks well,P4R608,4,09 August 2020,No,Yes,No,0,0,,Dullness
Positive,,,,Texture,4,4,37, feels smooth,6,6,4.166666666666667,4.166666666666667,, feels smooth,P4R608,4,09 August 2020,No,Yes,No,0,0,,Dullness
Positive,,,,Skin,4,4,8, thick and hydrating,36,35,4.742857142857143,4.722222222222222,, skill looks more hydrated,P4R608,4,09 August 2020,No,Yes,No,0,0,,Dullness
Positive,,,,Texture,5,5,29, lightweight,7,7,4.857142857142857,4.857142857142857,, lightweight,P4R611,5,06 August 2020,No,Yes,No,3,0,45-54,Sun Damage
Positive,,,,Skin,5,5,2, have eczema,68,67,4.865671641791045,4.867647058823529,, have eczema,P4R611,5,06 August 2020,No,Yes,No,3,0,45-54,Sun Damage
Positive,,,,Skin,5,5,45, very dry T-Zone quickly,17,17,4.882352941176471,4.882352941176471,, dry ski,P4R611,5,06 August 2020,No,Yes,No,3,0,45-54,Sun Damage
Positive,,,,Texture,5,5,8, doesn't make me super oily,16,15,4.8,4.75,, doesn't make me super oily,P4R619,5,28 July 2020,No,Yes,No,16,3,,Acne
Positive,,,,Texture,5,5,28, thick cream,8,8,4.875,4.875,, thick cream,P4R619,5,28 July 2020,No,Yes,No,16,3,,Acne
Positive,,,,Motivation,5,5,2, because I started watching a lot of skincare,8,8,4.75,4.75,, because I started watching a lot of skincare,P4R619,5,28 July 2020,No,Yes,No,16,3,,Acne
Positive,,,,Ingredients,5,5,2, oat,3,3,5.0,5.0,, oat,P4R619,5,28 July 2020,No,Yes,No,16,3,,Acne
Positive,,,,Brand,5,5,6, this brand is vegan AND cruelty free,2,2,4.5,4.5,, this brand is vegan AND cruelty free,P4R619,5,28 July 2020,No,Yes,No,16,3,,Acne
Positive,,,,Application,5,5,9, my face and neck,10,10,4.8,4.8,, my face and neck,P4R619,5,28 July 2020,No,Yes,No,16,3,,Acne
