Date,week_of,Verified Purchase,Recommended,Incentivized,Product shade,Rating,Review ID,Review Title,Review,Upvote,Downvote,Reviewer Name,Reviewer Description,AgeRange,SkinConcerns,Unnamed: 15
2022-11-18,13_Nov_2022,Yes,No,No,,1 star,P4R1,Disastrous formula change.,"I've been using this FAB cream for almost a decade. I have spent thousands of dollars on just this one cream - I've got a whole family with sensitive skin and we live in an area with very harsh winters. We've bought uncounted tubes and tubs of this stuff (as well as now-discontinued fragrances, rip coconut lime). This used to be the absolute best cream you could buy for a variety of concerns - dry skin, acne, eczema, flakiness, EVERYTHING. The scent was pleasant and the texture, once it sunk in, left your skin actually soft but never greasy and weird. Holy Grail, totally deserving of every accolade it received. 

Welp. Over the last year that's almost all changed. The fragrance is more or less the same, but I suddenly noticed my hands and face weren't staying as nice as they used to. My family agrees: the cream isn't soothing eczema or flakiness anymore, nor helping prevent dryness. The texture is no longer thick and luscious but feels watery and insubstantial when applied. Once it's rubbed in, skin now seems mildly tacky, not soft or moisturized. Any sensation of moisture wears off quickly. 

I can't tell what they've done to the formula besides the addition of eucalyptus, but it is a catastrophic change. This product used to be five stars, now it's one. A pump bottle of any drugstore brand with oatmeal will serve you much better. I also want to note they have raised the price on the 8oz tube by TWELVE DOLLARS over the last six years - and I'd still be willing to pay if it wasn't worse than a drugstore product. But as it stands I'm heartbroken. Don't waste your money.",5,0,Electrobolt,"Brown eyes, Auburn hair, Fair skin tone, Combination skin",Over54,Redness,1
2022-11-18,13_Nov_2022,Yes,Yes,No,,5 stars,P4R2,Best by far,I got this while it was on sale to try and wish I bought more! I've tried gold bond cream to l'occitaine cream and this is by far the best. Not greasy but keeps your hands supple. I work in health care and wash my hands so much. This has been amazing for the winter dryness as well. Cannot recommend enough.,1,0,teaismee,"Brown eyes, Combination skin",Over54,Dark Circles,1
2022-11-17,13_Nov_2022,No,Yes,No,,4 stars,P4R3,"A must have for sensitive skin, till you react!","When I used the product for many months, I didn't have any issues and it did moisturize well. I even used it on my baby's skin and it helped. However, after a few months, it felt like I got sensitive to one of the ingredients (probably the eucalyptus) and got pimples on and off when using the product. Also, after a point I felt like it didn't leave me moisturized for a few hours later, just right after. I think it might be a hit or miss.",1,1,amrita28,"Brown eyes, Black hair, Medium skin tone, Dry skin",Over54,Dark Circles,1
2022-10-31,30_Oct_2022,No,No,No,,2 stars,P4R4,"Used to be great product 3+ years ago, not anymore","Let me start by saying I loved this product so much when I first started using it. My hands, especially during winter, tend to crack and bleed at the knuckles and cuticles especially. I finally caved and bought the ultra repair cream. It was amazing! The cream was thick, absorbing relatively quickly. It did cause a little burning at first because my hands were so dry and cracked. That subsided after 10 minutes max. I finally saw my skin looking normal and it did take away the small eczema-looking patch on my arm within a week. I was so amazed by this cream, I stocked up and would have anywhere from 5-10+ 14oz jars on hand at any given time and also bought this every year for Christmas for family and friends.

Then I started to noticed the formula was becoming thinner and not working as well as it used to. I noticed my skin going back to the way it was. 

Then the price got outrageous $78 for a 14oz jar? Seems a little excessive for how much cream I was having to use. Then it was getting harder and harder to get their TSV on time for Christmas. Or even at all,  I had it on autodelivery for the Christmas pear fragrance and waited 2 months after it was supposed to ship and kept getting the run around. I finally cancelled it because I got sick of waiting and I haven’t bought another product from them since. Then they stopped selling it! So I ended up going back to my old lotions that were less than 1/2 the price for more product.",34,4,TLC936,"Blue eyes, Red hair, Fair skin tone, Combination skin",Over54,Redness,1
2022-10-30,30_Oct_2022,No,Yes,No,,5 stars,P4R5,hydration is key,"love this moisturizer, i use it as my morning moisturizer and makes me feel hydrated",1,2,gabrielamunoz98,"Brown eyes, Light skin tone, Dry skin",Over54,,1
2022-10-23,23_Oct_2022,Yes,Yes,No,,5 stars,P4R6,A must-have product,Great choice for oily acne-prone skin. Works well with topicals and gives long-lasting results.,3,1,grig06,"Brown eyes, Light skin tone, Combination skin",,,1
2022-10-23,23_Oct_2022,No,Yes,No,,5 stars,P4R7,Worth it! Calms rosacea,"I have rosacea and super sensitive skin and I wanted a moisturizer I could use daily that wouldn’t aggravate my skin, but rather calm it down a bit. Enter this cream: at first, I didn’t think it did anything at all, but the more I used it, the smoother my skin got (less texture from the rosacea) and I saw a different in my redness on my face. As soon as you apply it to irritated and hot skin, it’s so cooling and feels so nice! I use it after Cetaphil Gentle Cleanser and it feels great. Also, for the person who said that this is just a more expensive version of Cerave — I disagree. Not all moisturizers work for everyone — for some reason, Cerave doesn’t work well at all with my skin, but FAB ultra hydrating cream truly does soothe it. Worth the price for the tub because I’ve only used about 1/5th of it and I’ve been using it every day for about 3 months now!",14,1,vrave,"Brown eyes, Tan skin tone, Combination skin",Over54,Redness,1
2022-10-21,16_Oct_2022,No,Yes,No,,5 stars,P4R8,A must have in winter holy grail and saver,I use this product every winter this is probably 10 bottle.i wish i can give 1 million stars.My husand and my whole family use this product.It help alot during winter time.,1,1,shami1,"Brown eyes, Black hair, Light skin tone, Oily skin",,,1
2022-10-15,09_Oct_2022,No,No,No,,2 stars,P4R9,,"Honestly this stuff is not as moisturizing as it claims to be, I got retinol irritation on my neck and figured this stuff would do the trick but it’s been over two weeks and I still wake up with an itchy dry neck despite slathering this stuff on religiously. Also it makes my makeup pill like crazy. It’s definitely a rip off",16,6,rubyxogibi,"Green eyes, Light skin tone, Combination skin",,Dark Circles,1
2022-10-07,02_Oct_2022,No,No,No,,3 stars,P4R10,Basically an expensive version of cerave,"Does it work? Yes. Really well, but it’s basically cerave. You might as well just save your money and buy cerave.",36,20,kdd7614,"Brown eyes, Light skin tone, Dry skin",,Blackheads,1
2022-10-05,02_Oct_2022,No,Yes,No,,5 stars,P4R11,A must have!,"This is the perfect moisturizer for me. I love the way it makes my skin feel, and it has greatly helped restore my skin barrier. I’ve repurchased serval times, and the product always lasts me a while. Love it!",4,2,liv876,"Brown eyes, Auburn hair, Light skin tone, Combination skin",,Blackheads,1
2022-10-04,02_Oct_2022,No,Yes,No,,5 stars,P4R12,A MUST HAVE,"HOLY GRAIL! 

I use this on everything, every body part. I have one in my car, in my room, bathroom and even give it out as gifts. I have oil-dry skin and immediately see results.",0,0,jenmarmer,"Brown eyes, Blonde hair, Fair skin tone, Combination skin",,Acne,1
2022-10-01,25_Sep_2022,No,Yes,No,,5 stars,P4R13,Must Have for Dry Skin!,"I’ve been a fan of FAV for years. I use the face moisturizer exclusively, and I swear by the cleanser. I tried this moisturizer and it did wonders for my skin! I am a touch oily in my t zone, but I’m dry everywhere else  this left me feeling not just moisturized, but nourished. The moisture lasted a long time and I didn’t have any flakes I usually experience or cracks. This is a love for me. else. This left me",6,1,Gabrielita23,"Blue eyes, Brunette hair, Fair skin tone, Combination skin",,Acne,1
2022-10-01,25_Sep_2022,No,No,No,,3 stars,P4R14,peeling,"Ive been using this everyday for about a month its very moisturizing and feels great when applying but, if you apply too much or if you you don’t wait long enough to apply other products it peels right off when you touch your face",7,5,j3nnif3rmia,"Brown eyes, Brunette hair, Medium skin tone, Dry skin",,Blackheads,1
2022-09-29,25_Sep_2022,No,Yes,No,,5 stars,P4R15,,"Best moisturizer especially for dry, sensitive skin. Love that it doesn’t have a scent and keeps my skin feeling hydrated and smooth.",1,0,Jmusick,"Brown eyes, Brunette hair, Light skin tone, Dry skin",,Redness,1
2022-09-28,25_Sep_2022,Yes,Yes,No,,5 stars,P4R16,Great for Mature Skin!,"I got this for my mom who has been searching for a deeply moisturizing and protective cream because she lives in a dry climate. She absolutely loves this cream! For the price, it’s a fantastic formula and large size. I knew she was going to be slathering this on and she said her skin just drinks it up.",3,1,MadB012,"Blue eyes, Blonde hair, Medium skin tone, Combination skin",,Aging,1
2022-09-27,25_Sep_2022,No,Yes,No,,2 stars,P4R17,Not for me anymore,"Here’s the deal: this is a good product. I do recommend people try this if they’re looking for a cream for sensitive/damaged skin. This used to be great for my skin when it was stressed and dry, and it was my go to moisturizer to use with retinol, but out of nowhere it started to pill no matter where I used it or what I used it with. I’d go to sleep with it on and when I’d wake up, it looked like my pillow was covered in dead skin flakes from how much it pilled during the night. It’s such a bummer because I really did love it.",12,0,EJGalv,"Blue eyes, Brunette hair, Fair skin tone, Oily skin",,Acne,1
2022-09-23,18_Sep_2022,No,Yes,No,,5 stars,P4R18,"Simple and clean, perfect everyday moisturizer","This is a great everyday moisturizer that is clean and simple and hydrating. A staple in my skin care routine, would highly recommend for people with dry to normal skin as it is very hydrating but it’s not oily so could work for any skin type! MUST BUY!",1,0,femkemv,"Gray eyes, Blonde hair, Light skin tone, Combination skin",,Acne,1
2022-09-22,18_Sep_2022,No,Yes,No,,5 stars,P4R19,,This is my holy grail! I have really dry skin and always had difficulties finding the right moisturizer. This is the only one that has helped my skin. I had dry patches and no matter what moisturizer I have used nothing would  make it go away except for this.,4,0,michirojas15,"Brown eyes, Black hair, Tan skin tone, Dry skin",,Redness,1
2022-09-20,18_Sep_2022,No,No,No,,1 star,P4R20,,This product had really review so i thought id give it a go. Using it cause my skin to burn and break out; red spot became more irritated and more red than before. Wouldn't recommend for moisturizer.,5,2,LemonJuicy,"Brown eyes, Blonde hair, Medium skin tone, Combination skin",,,1
2022-09-20,18_Sep_2022,No,Yes,Yes,,5 stars,P4R21,Instant Hydration,"Starting using this Ultra Repair cream because my skin was very dry and irritated and it is super creamy, hydrating, and soothing! It is instant hydration and helped my dry skin after the first use! It doesn’t feel sticky either, It feels amazing and I would highly recommend.",1,0,NancyJ10,"Blue eyes, Brunette hair, Porcelain skin tone, Combination skin",,Acne,1
